active_time	online_time	num_message	ave_message	ave_time_inter	median_time_inter	ave_message_reply	ratio_male_contact	most_used_platform	num_platform	num_short_time_inter	num_receiver_age	num_reply_message	num_reply_user	num_user_to	reply_percent	periodic_pvalue	userid_from	bot
21414	21414	117	29.25	184.603448275862	59	28.5	1	4	1	5	2	114	4	4	1	0.347396102728434	30970	0
1961	1961	44	22	45.6046511627907	42	22.5	1	3	1	2	2	45	2	2	1	0.924895464515572	40028	0
1776	1776	46	7.66666666666667	39.4666666666667	25	12.6666666666667	1	9	1	8	3	38	3	6	0.5	0.846457563321211	140161	0
5333	24515	172	17.2	143.362573099415	11	10.1428571428571	1	7	2	75	3	71	7	10	0.7	0.999279139961734	105760	0
11480	11480	67	8.375	173.939393939394	66	7	0.625	1	2	4	3	56	8	8	1	0.999999999998831	74264	0
28783	28783	191	95.5	151.489473684211	79.5	86	1	3	1	10	2	172	2	2	1	0.573031614542919	91602	0
2721	2721	85	5.66666666666667	32.3928571428571	18	9.2	1	3	1	23	3	46	5	15	0.333333333333333	0.732428707163101	17623	0
5733	5733	126	7.875	45.864	26	6.71428571428571	1	9	1	31	6	47	7	16	0.4375	0.597077008776995	112660	0
7833	19573	122	5.54545454545455	161.760330578512	22	7.38095238095238	1	3	1	25	6	155	21	22	0.954545454545455	0.999999999999999	90103	0
7408	7408	13	1	617.333333333333	72	NA	1	3	1	1	5	0	0	13	0	0.881981601084215	47958	0
28793	28793	230	38.3333333333333	125.733624454148	46	38.3333333333333	1	1	2	19	3	230	6	6	1	0.896257844225662	32587	0
22777	22777	603	7.44444444444444	37.8355481727575	28	11.4642857142857	1	3	1	13	6	642	56	81	0.691358024691358	0.967875217459607	93300	1
4293	4293	12	1.33333333333333	390.272727272727	216	1.5	1	3	1	0	3	3	2	9	0.222222222222222	0.273048357754773	36941	0
23196	23196	74	18.5	317.753424657534	153	15	1	1	2	4	2	45	3	4	0.75	0.532481707997477	62580	0
2339	2339	75	75	31.6081081081081	21.5	59	1	4	1	22	1	59	1	1	1	0.174032623841908	46147	0
818	818	18	1.38461538461538	48.1176470588235	27	2	1	7	1	1	5	12	6	13	0.461538461538462	0.999052798890611	117296	0
16050	16050	348	4.24390243902439	46.2536023054755	32	8.06896551724138	1	1	1	41	2	234	29	82	0.353658536585366	0.00201540638916087	66714	1
15893	26087	59	3.93333333333333	449.775862068966	27.5	5.14285714285714	0.928571428571429	9	1	13	2	72	14	15	0.933333333333333	0.99875112518866	105796	0
13430	20786	585	10.4464285714286	35.5924657534247	11	14.1454545454545	0.982142857142857	3	1	250	5	778	55	56	0.982142857142857	0.977450528548009	128356	0
1905	1905	32	16	61.4516129032258	42	12.5	1	3	1	1	2	25	2	2	1	0.983921021090181	101912	0
6868	6868	99	33	70.0816326530612	57	44.6666666666667	1	9	1	6	2	134	3	3	1	0.345696256664903	29132	0
11710	11710	126	4.5	93.68	42	13.4285714285714	1	3	1	13	5	94	7	28	0.25	0.342865861555352	90183	0
4043	4043	37	37	112.305555555556	118	38	1	3	1	1	1	38	1	1	1	0.851976208068107	8662	0
7858	28565	14	3.5	2197.30769230769	158	3	1	3	1	0	2	12	4	4	1	0.901531653844644	16243	0
4321	19119	95	13.5714285714286	203.393617021277	37.5	16.2857142857143	1	3	1	1	2	114	7	7	1	1	106408	0
1787	1787	35	11.6666666666667	52.5588235294118	39.5	28.3333333333333	1	3	1	0	1	85	3	3	1	0.487652541893381	64710	0
5076	5076	29	4.83333333333333	181.285714285714	35.5	6.75	0.333333333333333	3	1	4	3	27	4	6	0.666666666666667	0.997685561241608	105573	0
19893	27736	94	10.4444444444444	298.236559139785	55	17.875	1	3	1	2	2	143	8	9	0.888888888888889	0.951707546359637	67029	0
7135	7135	20	2.85714285714286	375.526315789474	182	2.33333333333333	1	3	1	0	4	7	3	7	0.428571428571429	0.945748405609562	41335	0
2272	2272	7	2.33333333333333	378.666666666667	111.5	5.5	1	7	1	0	2	11	2	3	0.666666666666667	0.999992374825599	127906	0
1295	1295	16	5.33333333333333	86.3333333333333	49	6.33333333333333	1	9	1	2	2	19	3	3	1	0.332096320618617	57826	0
20601	28088	102	9.27272727272727	278.09900990099	26	9.72727272727273	1	9	1	25	3	107	11	11	1	0.556129908742441	30407	0
21139	28780	533	16.1515151515152	54.0977443609023	14	22.4761904761905	1	9	1	191	4	472	21	33	0.636363636363636	0.999996376906645	92484	0
18357	18357	272	6.18181818181818	67.7380073800738	19	6.86666666666667	0.113636363636364	3	1	67	5	206	30	44	0.681818181818182	0.999999999901291	140169	0
488	488	18	4.5	28.7058823529412	20	6.25	1	10	1	1	3	25	4	4	1	0.999795288614277	103699	0
23	23	2	2	23	23	NA	1	3	1	0	1	0	0	1	0	1	5585	0
20080	28663	31	10.3333333333333	955.433333333333	90.5	10.6666666666667	1	9	1	1	2	32	3	3	1	0.478788126514418	42924	0
11284	11284	47	3.35714285714286	245.304347826087	42.5	4.5	1	3	1	6	4	18	4	14	0.285714285714286	0.8116115093372	72001	0
17310	28784	66	6.6	442.830769230769	48	9	1	3	1	7	3	81	9	10	0.9	0.970629167398138	55066	0
1609	1609	46	3.06666666666667	35.7555555555556	30	8.33333333333333	1	9	1	1	5	25	3	15	0.2	0.843152018116453	42469	0
166	166	6	1.5	33.2	16	2	1	3	1	1	3	8	4	4	1	1	88669	0
27801	27801	200	5.40540540540541	139.70351758794	24	13.4545454545455	1	3	1	41	4	148	11	37	0.297297297297297	0.96462834444676	49735	0
4345	4345	109	27.25	40.2314814814815	31.5	45.5	1	3	2	10	3	182	4	4	1	0.552628308448404	26873	0
24283	24283	191	19.1	127.805263157895	63	21.875	0.375	1	2	11	3	175	8	10	0.8	0.628537570541507	67735	0
10932	10932	23	5.75	496.909090909091	87.5	7	1	3	1	2	2	28	4	4	1	0.999168953806094	107820	0
1411	1411	53	8.83333333333333	27.1346153846154	16.5	12.3333333333333	1	3	1	11	3	74	6	6	1	0.589717827289192	135256	0
5778	5778	152	10.8571428571429	38.2649006622517	29	14.3076923076923	0.0714285714285714	3	1	8	4	186	13	14	0.928571428571429	0.55800021254682	58527	0
9235	9235	134	6.38095238095238	69.4360902255639	34	11.875	1	1	2	22	4	95	8	21	0.380952380952381	1	51775	0
9886	27453	42	7	669.585365853659	65	8.25	0.4	3	1	2	4	33	4	6	0.666666666666667	0.985361506715236	87037	0
1000	1000	8	8	142.857142857143	96	6	1	10	1	1	1	6	1	1	1	0.874876207310092	139624	0
12320	12320	332	25.5384615384615	37.2205438066465	25	23.125	1	1	2	71	1	185	8	13	0.615384615384615	0.997861410589921	101390	0
3926	3926	46	23	87.2444444444444	58	24	1	3	2	0	2	48	2	2	1	0.960602968677906	2419	0
20968	28366	125	7.35294117647059	228.758064516129	28.5	9.375	1	3	1	31	3	150	16	17	0.941176470588235	0.99476506244253	132634	0
9695	9695	189	2.39240506329114	51.5691489361702	9	5.61111111111111	1	9	1	100	6	101	18	79	0.227848101265823	0.95305165893534	86197	0
11847	11847	293	13.3181818181818	40.5719178082192	14	17.7727272727273	1	3	1	92	3	391	22	22	1	0.624332891402419	53886	0
22263	22263	502	3.66423357664234	44.437125748503	18	8	1	3	1	89	5	328	41	137	0.299270072992701	0.874355593513582	101502	1
NA	0	1	1	NA	NA	1	1	9	1	NA	1	1	1	1	1	1	51184	0
10970	10970	111	18.5	99.7272727272727	49.5	24	1	3	1	10	2	96	4	6	0.666666666666667	0.99999999999616	28935	0
2105	9546	28	5.6	353.555555555556	49	5.2	0.8	4	1	3	2	26	5	5	1	0.999999959388895	76371	0
20085	28037	129	14.3333333333333	219.0390625	44.5	12.4285714285714	1	4	1	36	3	87	7	9	0.777777777777778	0.984562187285309	55076	0
