userid_from	bot
30970	0
40028	0
140161	0
105760	0
74264	0
91602	0
17623	0
112660	0
90103	0
47958	0
32587	0
93300	1
36941	0
62580	0
46147	0
117296	0
66714	1
105796	0
128356	0
101912	0
29132	0
90183	0
8662	0
16243	0
106408	0
64710	0
105573	0
67029	0
41335	0
127906	0
57826	0
30407	0
92484	0
140169	0
103699	0
5585	0
42924	0
72001	0
55066	0
42469	0
88669	0
49735	0
26873	0
67735	0
107820	0
135256	0
58527	0
51775	0
87037	0
139624	0
101390	0
2419	0
132634	0
86197	0
53886	0
101502	1
51184	0
28935	0
76371	0
55076	0
140015	0
75419	0
39972	0
78415	0
139994	0
23849	0
108157	0
49851	0
73269	1
75310	0
9675	1
9903	0
26968	0
76457	0
139741	0
62233	0
15697	0
112556	0
4592	0
54585	0
75094	0
50221	0
83329	0
29811	0
38664	0
24542	0
104978	0
101973	0
119352	0
13485	0
89650	0
83574	0
62058	0
135637	1
140142	0
8833	0
75545	0
71876	0
72169	0
81768	0
46873	0
25700	0
78132	0
67711	0
115638	0
19601	0
86410	0
108729	0
123262	0
93869	0
59803	0
30908	0
67570	0
44082	0
85248	0
59520	0
81478	0
121172	0
138923	0
85568	0
82070	0
35836	1
37963	0
84628	0
50401	0
23110	0
127955	0
97975	0
47535	0
98779	0
91227	0
138232	0
72460	1
73360	0
103466	0
96524	0
139359	0
108037	0
63035	0
107062	1
124948	0
116202	0
45713	0
65747	0
107839	0
122910	0
121107	0
108167	0
115014	0
10872	0
6649	0
127340	0
98056	0
19419	0
119801	0
119717	0
26625	1
132700	0
83683	0
10844	0
124403	0
134319	0
89076	0
115682	0
54483	0
99496	0
140186	0
85070	0
65227	0
82333	0
26913	0
139509	0
112686	0
105175	0
9101	0
114785	0
123249	0
93973	0
60088	0
88695	0
99657	0
13467	0
54602	0
53804	0
90488	0
41249	0
93750	0
70234	0
123093	0
123698	0
46761	0
31965	0
139344	0
87441	0
139956	1
56273	0
103926	0
78472	0
94195	0
81193	0
69669	0
65296	0
136123	0
44931	0
85374	0
112226	0
95405	0
42296	0
100785	0
133276	0
94028	0
118567	0
70990	0
66169	0
118750	0
13476	0
2706	0
81787	0
33116	0
106287	0
43597	0
79447	0
77140	0
357	0
95731	0
121529	0
93170	0
106726	0
32185	0
137011	0
17067	0
67987	0
32505	1
90269	0
102268	0
128530	1
139276	0
118514	0
120169	0
41305	0
59926	0
54737	0
87911	0
32030	0
66876	0
13375	0
109409	0
70195	0
79314	0
138640	0
23169	0
128929	0
36675	0
60074	0
112216	0
57797	0
77122	0
130222	0
89619	0
74997	0
38025	0
138687	0
94460	0
84959	0
90349	0
119408	0
75027	0
49629	0
140258	0
54556	0
105980	0
24078	0
114325	0
81871	0
140105	0
90617	0
60644	0
95447	0
41528	0
83773	0
78446	0
25652	0
4519	0
99519	0
131341	0
32211	0
89538	0
3047	0
35135	0
71636	0
81266	0
48096	0
26652	0
66938	0
17544	0
76805	0
130993	0
133264	0
44201	0
39977	0
139221	0
14662	0
50303	0
135963	0
54984	0
116746	0
62796	0
78398	0
114908	0
113198	0
52940	0
89540	0
92444	0
52237	0
104785	0
128524	0
105457	0
101553	0
67879	0
125400	0
79815	0
139201	0
98964	0
115069	0
84751	0
32929	0
21312	0
87586	0
82573	0
140077	0
42775	0
32612	0
48019	0
108009	0
9435	0
138275	0
92434	0
57580	0
123055	0
92067	0
89601	0
99569	1
117925	0
93203	0
123069	0
36380	0
78980	0
30460	0
137112	0
10712	0
117797	0
106074	0
76199	0
140166	0
26117	0
118234	0
124520	0
69966	0
106981	0
35580	1
25080	0
125025	0
44631	0
76243	0
97409	0
34537	0
109218	0
111093	0
26629	0
73983	0
140204	0
132968	0
11379	0
41257	0
30179	0
44711	0
125089	0
134588	0
136643	0
65176	0
115746	0
79109	0
116617	0
137455	0
131259	0
120716	0
82186	0
79523	0
60468	0
54553	0
31628	0
120616	0
89502	0
123319	0
82502	0
83113	0
106326	0
60526	1
100269	0
68555	0
59175	0
85872	0
46816	0
86326	0
36636	1
107109	1
113810	0
50224	0
121245	0
124347	0
36237	0
99916	0
69587	0
121954	0
131011	0
3545	0
139350	0
86806	0
77020	0
58900	0
45655	0
43454	0
39070	0
54498	0
19615	0
106834	0
50014	0
90501	0
123573	0
117337	0
140227	0
107661	0
40585	0
94150	0
125057	1
126478	0
80355	0
10384	0
77447	0
135455	0
69109	0
35720	0
91399	0
65905	0
92913	0
65898	0
83689	0
116760	0
65917	0
122396	0
116264	0
43164	0
135945	0
73671	0
22615	0
29099	1
85665	0
30031	0
16062	0
27065	0
124842	0
52700	0
69994	0
4915	0
131671	0
27907	0
120767	0
53726	0
139033	0
117726	0
83833	0
3374	0
62343	0
77433	0
88928	0
55435	1
23485	0
5896	0
92185	0
66634	0
29326	0
46721	0
89313	0
52701	0
87301	0
82543	0
69006	0
11370	0
128181	0
125965	0
140084	0
78220	0
93945	0
26833	0
39750	0
17460	0
107620	0
122942	0
136687	0
74252	0
140070	0
46891	0
3407	0
41738	0
31257	0
70361	0
75300	0
122886	0
103113	0
32513	0
113490	0
62125	0
273	0
72216	0
138884	0
71659	0
116313	1
96857	0
93959	0
24000	0
112861	0
44137	0
37866	0
63530	0
36003	0
42635	0
64979	0
67251	0
30739	0
77650	0
117162	0
91189	0
118131	0
105812	0
130680	0
59368	0
71311	0
57623	0
69801	0
139659	0
41409	0
70193	0
119905	0
88960	0
72217	0
66085	0
3229	0
63495	0
1123	0
98636	0
97119	0
100154	0
123030	0
53950	0
140261	0
33669	0
120559	0
16195	0
103661	0
22823	1
7679	0
11545	0
83457	0
38954	1
29305	0
56091	0
37341	0
76003	0
43197	0
128714	0
113060	0
3728	0
101370	0
45858	0
87444	0
4505	0
85988	0
67552	0
88309	0
96224	0
69479	0
37303	1
104500	0
73272	0
125742	0
47657	0
98711	0
8733	0
58020	0
123001	0
107286	0
126951	0
59665	0
114872	0
32087	0
48949	0
2225	0
16432	0
113409	0
84626	0
33014	0
85360	0
60908	0
73038	0
109682	0
32071	0
23430	0
62207	0
81056	0
23895	0
112813	0
67923	0
62985	0
52916	0
33043	0
139594	0
40626	0
112087	0
5831	0
89626	0
109122	0
127859	0
33302	0
69177	0
85173	0
86655	0
138370	0
124895	1
92755	0
13864	0
75266	0
95784	0
11317	0
36627	0
24410	0
13612	0
109233	0
101376	0
111766	0
102583	0
18774	0
42963	0
63758	0
70129	0
83466	0
9893	0
38893	0
24223	0
1237	0
69609	0
102705	0
92777	0
117043	0
30645	0
35571	0
76916	0
39438	0
7504	0
86416	0
72739	0
119385	0
113736	0
86845	0
94347	0
51283	0
116063	0
29417	0
67094	0
93417	0
27564	0
81393	0
11931	0
54719	0
2598	0
139959	0
92656	0
16227	0
36117	0
47860	0
34383	0
47834	0
113667	0
32717	0
64150	0
44730	0
98268	0
107847	0
9517	0
116469	0
52369	0
92095	0
93287	0
115717	0
3632	1
70954	0
39269	0
139999	0
128857	0
68354	0
103038	0
17626	0
107933	0
48128	0
130498	0
40189	0
83040	0
67352	0
120533	0
58866	0
84138	1
73624	0
117920	0
83681	0
22392	0
89147	0
33042	0
66905	0
49791	0
59251	0
125161	0
10079	0
100429	0
76387	0
87933	0
133990	0
40714	0
66767	0
63196	0
70289	0
131498	0
97152	0
75269	0
140129	0
89412	0
101326	0
109547	0
123854	0
13337	0
74849	0
9704	0
40593	0
45654	0
132151	0
33041	0
31431	0
49395	0
47614	0
140285	0
96135	0
72343	0
96562	0
75554	0
106336	0
1498	0
1455	0
35046	0
97196	0
52800	0
92830	0
80298	0
103290	0
116706	0
11575	0
45468	0
138996	0
122940	0
81472	0
109059	0
94274	0
47436	0
95388	0
92733	0
87319	0
75098	0
104920	0
139129	0
851	0
139835	0
37790	0
105458	0
138285	0
73692	0
113023	0
101629	0
74290	0
35290	0
29191	0
118002	0
55796	0
58943	0
107160	0
66104	0
4053	0
127975	0
87818	0
97376	0
138451	0
114153	0
53801	0
91798	0
59399	1
87034	0
134228	0
2701	0
82398	0
89963	0
112405	0
59003	0
65914	0
38397	0
59874	0
98493	0
62931	0
113204	0
49887	0
103159	0
109051	0
24113	0
58207	0
106814	0
40422	0
32225	0
13063	0
33609	0
95078	0
97321	0
74587	0
20624	0
109789	0
84960	0
119775	0
49717	0
67469	1
124865	0
71992	0
25205	0
50850	0
73931	0
82579	0
42358	0
118366	0
123894	0
21219	0
8904	0
122178	0
26879	0
45986	1
139788	0
118534	1
112907	0
89654	0
82110	0
110098	0
48320	0
109617	0
81171	0
45365	0
59238	0
3447	0
95493	0
102684	0
44884	0
37300	0
90658	0
100043	0
120692	0
134730	0
123631	0
115195	0
130118	0
104046	0
72737	0
6619	0
90858	0
102267	0
80121	0
27069	0
11010	0
74339	0
120895	0
86747	0
68471	0
114980	0
50762	0
39425	0
16670	0
60899	0
26783	0
112150	0
128590	0
22076	0
75495	0
118796	0
101963	0
18213	0
37967	0
56821	0
73953	0
81852	0
9692	0
78976	0
89726	0
135899	0
27156	0
45239	0
5242	0
47561	0
82566	0
117737	0
6889	0
20267	0
53766	0
38636	0
78346	0
71621	0
34028	0
71278	0
15153	1
67815	0
139621	0
7046	0
76577	0
128448	0
38231	0
16636	0
25517	0
107279	0
38185	0
128369	0
122862	0
22039	0
116716	0
91954	0
102571	0
13212	0
30536	0
59815	0
111809	0
100757	0
62455	0
31041	0
75121	0
60464	0
83550	0
17340	0
80601	0
60541	0
18795	0
41988	0
98755	0
138581	0
117982	0
92616	0
17864	0
69287	0
65655	0
38393	0
41453	0
81936	0
11355	0
64185	0
61590	0
45879	0
73991	0
140096	0
68324	0
94814	0
58657	0
139977	0
39664	0
46892	0
139412	0
140086	0
42282	0
74310	0
105971	0
113169	0
94146	0
41866	0
68422	0
101989	0
79984	0
55648	0
45466	0
21150	0
131823	0
85683	0
119931	0
38735	0
85167	0
70753	0
19628	0
55015	0
137099	0
109678	0
74822	0
140221	0
90064	0
91332	0
60700	0
101855	0
109075	0
32906	0
116081	0
84294	1
79088	0
75047	0
52621	0
43010	0
53560	0
37568	0
92321	0
14348	0
75471	0
10049	0
140157	0
79424	0
84631	0
54186	0
124474	0
109142	0
116679	0
112951	0
23712	0
5393	0
5285	0
124839	0
40083	0
2737	0
113221	0
17814	0
67264	0
54157	0
5841	0
73059	0
